dataset_date,source_file,pivot_id,symbol,timeframe,pivot_index,confirmation_index,confirmation_delay,pivot_timestamp,confirmation_timestamp,pivot_side,structure_type,structure_mode,source,pivot_open,pivot_high,pivot_low,pivot_close,pivot_price,pivot_volume,pivot_range,pivot_body,upper_wick,lower_wick,candle_direction,close_position,confirm_open,confirm_high,confirm_low,confirm_close,confirm_volume,atr_14,range_atr_ratio,body_atr_ratio,price_to_confirm_close,volume_mean_20,volume_std_20,volume_ratio_20,volume_zscore_20,previous_pivot_type,previous_pivot_price,distance_previous_pivot,bars_previous_pivot,swing_size_atr,liquidity_type,liquidity_state,swept_index,resolved_index,last_structure_event,last_structure_event_direction,bars_since_structure_event,distance_last_structure_event_atr,bos_count_previous_20,choch_count_previous_20,near_equal_level,equal_level_type,distance_equal_level_atr,bars_since_equal_level,inside_fvg,nearest_fvg_type,distance_fvg_atr,fvg_size_atr,bars_since_fvg,fvg_mitigated,active_fvg_count_50,inside_order_block,nearest_ob_type,distance_ob_atr,ob_size_atr,bars_since_ob,ob_invalidated,active_ob_count_50,bsl_count_previous_100,ssl_count_previous_100,active_bsl_count,active_ssl_count,distance_nearest_bsl_atr,distance_nearest_ssl_atr,equal_levels_previous_100,liquidity_imbalance_100,target
UNKNOWN,2026_03.csv,3,MARKET,1,464,464,0,2026-04-01T07:44:00-05:00,2026-04-01T07:44:00-05:00,HIGH,HH,external,ChartPrimeHigh,24112.25,24246,24105.75,24182.25,24246,1828,140.25,70,63.75,6.5,1,0.545454545454545,24112.25,24246,24105.75,24182.25,1828,21.5944194057924,6.49473354038774,3.24157823762668,2.95215160926716,343.55,178.463014375528,5.32091398631931,8.31797000176388,LOW,24003.5,242.5,201,11.2297531803496,BSL,Resolved,592,592,BOS_UP,UP,64,2.99845986980468,0,0,0,EQL,4.80448203076812,82,0,BEARISH_FVG,2.3154130268762,0.150501846746953,43,1,0,0,BULLISH_OB,3.9014709502864,0.358889019165811,64,1,0,1,0,1,1,0,11.2297531803496,1,0,SWEEP
UNKNOWN,2026_03.csv,4,MARKET,1,487,487,0,2026-04-01T08:07:00-05:00,2026-04-01T08:07:00-05:00,LOW,HL,external,ChartPrimeLow,24038,24050.75,24036,24046.25,24036,466,14.75,8.25,4.5,2,1,0.694915254237288,24038,24050.75,24036,24046.25,466,20.401634563756,0.722981286323191,0.4043793635367,-0.502410724394082,602.1,182.100768806724,0.773957814316559,-0.747388387714344,HIGH,24246,210,23,10.2932928900251,SSL,Resolved,1157,1157,BOS_UP,UP,87,7.11952758226736,0,0,0,EQL,2.04640465789785,264,1,BULLISH_FVG,0,0.110285280964555,472,1,1,0,BULLISH_OB,5.78385029058553,0.379871523322355,87,1,0,1,1,1,2,10.2932928900251,0,0,-0.333333333333333,SWEEP
UNKNOWN,2026_03.csv,5,MARKET,1,724,724,0,2026-04-01T12:04:00-05:00,2026-04-01T12:04:00-05:00,HIGH,HH,external,ChartPrimeHigh,24338.5,24348.25,24334.25,24341.25,24348.25,1214,14,2.75,7,4.25,1,0.5,24338.5,24348.25,24334.25,24341.25,1214,8.40401803255275,1.66586981914738,0.327224428761093,0.832934909573692,381.3,249.415336336802,3.18384474167322,3.33860785078409,LOW,24036,312.25,237,37.1548465020551,BSL,Resolved,3874,3876,BOS_UP,UP,131,12.1667992148443,0,0,0,EQH,2.61779543008875,54,0,BEARISH_FVG,3.03426288487559,0.11899070136767,3,1,1,0,BULLISH_OB,13.2377155271533,1.30889771504437,131,0,0,1,0,1,2,0,37.1548465020551,1,-0.333333333333333,RUN
UNKNOWN,2026_03.csv,6,MARKET,1,1111,1111,0,2026-04-01T19:31:00-05:00,2026-04-01T19:31:00-05:00,LOW,HL,external,ChartPrimeLow,24167.75,24167.75,24154.5,24160.75,24154.5,137,13.25,7,0,6.25,-1,0.471698113207547,24167.75,24167.75,24154.5,24160.75,137,10.4998745386263,1.26191984020921,0.666674632563355,-0.595245207645853,98.95,53.6884298522503,1.38453764527539,0.708718807845806,HIGH,24348.25,193.75,387,18.4526014370214,SSL,Resolved,1143,1145,BOS_UP,UP,518,8.71438983993528,0,0,1,EQL,0.452386357810848,28,1,BULLISH_FVG,0,1.80954543124339,290,1,0,1,BULLISH_OB,0,0.738104057480857,711,1,0,0,1,1,3,18.4526014370214,0,2,-0.5,RUN
UNKNOWN,2026_03.csv,7,MARKET,1,1139,1139,0,2026-04-01T19:59:00-05:00,2026-04-01T19:59:00-05:00,HIGH,LH,external,ChartPrimeHigh,24238.5,24245.75,24226.75,24236.25,24245.75,296,19,2.25,7.25,9.5,-1,0.5,24238.5,24245.75,24226.75,24236.25,296,13.2174333338475,1.43749542896081,0.170229721850622,0.718747714480405,204.6,129.667035132296,1.44672531769306,0.704882315746228,LOW,24154.5,91.25,28,6.90376094171968,BSL,Resolved,1957,1957,BOS_UP,UP,546,0.018914413538958,0,0,1,EQH,0.113486481233748,348,1,BEARISH_FVG,0,0.737662128019363,355,1,3,0,BULLISH_OB,0.662004473863531,0.832234195714153,546,1,0,1,1,2,3,0,6.90376094171968,2,-0.2,SWEEP
UNKNOWN,2026_03.csv,8,MARKET,1,1454,1454,0,2026-04-02T01:14:00-05:00,2026-04-02T01:14:00-05:00,LOW,LL,external,ChartPrimeLow,23756,23760.75,23752.5,23760.5,23752.5,157,8.25,4.5,0.25,3.5,1,0.96969696969697,23756,23760.75,23752.5,23760.5,157,9.22643550043804,0.89416980150225,0.487728982637591,-0.867073746911273,139.8,67.9482155762754,1.12303290414878,0.253133946993679,HIGH,24245.75,493.25,315,53.4605157079982,SSL,Resolved,1755,1757,CHOCH_DOWN,DOWN,311,43.5704557822915,0,0,0,EQL,11.949360074621,161,0,BULLISH_FVG,0.812881637729318,0.162576327545864,12,1,4,0,BULLISH_OB,43.5162636731095,0.839977692320296,1054,1,0,0,1,2,1,53.4605157079982,0,0,0.333333333333333,RUN
UNKNOWN,2026_03.csv,9,MARKET,1,1559,1559,0,2026-04-02T02:59:00-05:00,2026-04-02T02:59:00-05:00,HIGH,LH,external,ChartPrimeHigh,23875.25,23882,23874.25,23879.25,23882,186,7.75,4,2.75,1,1,0.645161290322581,23875.25,23882,23874.25,23879.25,186,8.80080689242688,0.880601073825276,0.454503780038852,0.312471348776711,128.65,39.9553187948739,1.44578313253012,1.43535333291741,LOW,23752.5,129.5,105,14.7145598787578,BSL,Resolved,1918,1920,CHOCH_DOWN,DOWN,416,30.9630700151468,0,0,0,EQL,2.18729944143697,266,1,BEARISH_FVG,0,0.738568642563134,270,1,0,0,BULLISH_OB,30.9062570426419,0.880601073825276,1159,1,0,1,0,3,1,0,14.7145598787578,2,0.5,RUN
UNKNOWN,2026_03.csv,11,MARKET,1,2460,2460,0,2026-04-02T19:01:00-05:00,2026-04-02T19:01:00-05:00,HIGH,HH,external,ChartPrimeHigh,24226.5,24255,24226,24248.75,24255,349,29,22.25,6.25,0.5,1,0.78448275862069,24226.5,24255,24226,24248.75,349,6.7763275388108,4.27960423015345,3.28348945244532,0.922328497877899,55.65,69.3320092020994,6.27133872416891,4.23109042094682,LOW,23666,589,648,86.9202376400132,BSL,Resolved,3499,3501,CHOCH_UP,UP,542,55.044564753353,0,0,1,EQL,0.18446569957558,1845,0,BEARISH_FVG,0.110679419745348,0.221358839490696,1677,1,2,0,BULLISH_OB,2.65630607388835,1.6232981562651,1867,1,0,1,0,2,1,0,86.9202376400132,3,0.333333333333333,RUN
UNKNOWN,2026_03.csv,12,MARKET,1,2630,2630,0,2026-04-02T21:51:00-05:00,2026-04-02T21:51:00-05:00,LOW,HL,external,ChartPrimeLow,24154.5,24159.5,24150.5,24159.5,24150.5,99,9,5,0,4,1,1,24154.5,24159.5,24150.5,24159.5,99,6.44692872963171,1.39601357133572,0.77556309518651,-1.39601357133572,54.8,29.6016891409933,1.80656934306569,1.49315803532274,HIGH,24255,104.5,170,16.2092686893981,SSL,Resolved,2850,2850,CHOCH_UP,UP,712,41.6477382115156,0,0,0,EQL,1.27967910705774,2248,1,BULLISH_FVG,0,0.620450476149208,403,1,6,0,BULLISH_OB,0.542894166630557,1.20212279753909,2230,1,0,0,1,2,2,16.2092686893981,0,0,0,SWEEP
UNKNOWN,2026_03.csv,13,MARKET,1,2805,2805,0,2026-04-03T00:46:00-05:00,2026-04-03T00:46:00-05:00,HIGH,LH,external,ChartPrimeHigh,24189.25,24193.5,24189.25,24192,24193.5,26,4.25,2.75,1.5,0,1,0.647058823529412,24189.25,24193.5,24189.25,24192,26,4.50265055780019,0.943888482004781,0.610751370708976,0.333137111295805,27.8,23.1508099210373,0.935251798561151,-0.0777510595153877,LOW,24150.5,43,175,9.54993052381308,BSL,Resolved,3204,3205,CHOCH_UP,UP,887,69.1814734457622,0,0,0,EQL,1.38807129706585,516,1,BEARISH_FVG,0,0.388659963178439,201,1,0,1,BEARISH_OB,0,3.44241681672332,1662,1,0,1,0,3,2,0,9.54993052381308,0,0.2,GRAB
UNKNOWN,2026_03.csv,14,MARKET,1,3122,3122,0,2026-04-03T06:08:00-05:00,2026-04-03T06:08:00-05:00,LOW,LL,external,ChartPrimeLow,24115.25,24119,24114.25,24117.75,24114.25,52,4.75,2.5,1.25,1,1,0.736842105263158,24115.25,24119,24114.25,24117.75,52,4.36179434493485,1.08900136603551,0.573158613702898,-0.802422059184057,31.65,27.4686639645979,1.64296998420221,0.740844186168917,HIGH,24193.5,79.25,317,18.1691280543819,SSL,Resolved,3232,3233,CHOCH_DOWN,DOWN,251,8.31079989869202,0,0,0,EQH,3.78284685043913,2901,1,BULLISH_FVG,0,3.55358340495797,920,1,2,0,BULLISH_OB,9.11322195787607,1.77679170247898,2722,1,0,0,1,3,2,18.1691280543819,0,4,0.2,GRAB
UNKNOWN,2026_03.csv,15,MARKET,1,3204,3204,0,2026-04-03T07:30:00-05:00,2026-04-03T07:30:00-05:00,HIGH,HH,external,ChartPrimeHigh,24167.75,24245.25,24151.5,24212.5,24245.25,859,93.75,44.75,32.75,16.25,1,0.650666666666667,24167.75,24245.25,24151.5,24212.5,859,14.5279525173028,6.45307725836409,3.08026887799246,2.25427498892186,65.55,45.4273871139426,13.1045003813883,17.4663358473566,LOW,24114.25,131,82,9.01709995568742,BSL,Resolved,3499,3501,CHOCH_DOWN,DOWN,333,6.52191008245331,0,0,1,EQH,0.137665648178434,2413,1,BEARISH_FVG,0,0.671120034869866,2420,1,0,0,BULLISH_OB,0.56787079873604,0.757161064981387,2611,1,0,1,1,4,2,0,9.01709995568742,2,0.333333333333333,RUN
UNKNOWN,2026_03.csv,16,MARKET,1,3260,3260,0,2026-04-05T17:11:00-05:00,2026-04-05T17:11:00-05:00,LOW,LL,external,ChartPrimeLow,23989.5,24009.75,23981.5,23983.25,23981.5,720,28.25,6.25,20.25,1.75,-1,0.0619469026548673,23989.5,24009.75,23981.5,23983.25,720,19.7563164707752,1.42992242717863,0.316354519287307,-0.0885792654004459,303.95,287.261113797186,2.36881065964797,1.44833386774982,HIGH,24245.25,263.75,56,13.3501607139243,SSL,Resolved,5651,5651,BOS_DOWN,DOWN,28,6.7193699896624,0,0,1,EQH,0.27839197697283,2080,0,BEARISH_FVG,0.27839197697283,0.202466892343876,2093,1,4,0,BULLISH_OB,6.25116530111718,0.860484292461474,1342,0,0,1,1,3,2,13.3501607139243,0,2,0.2,SWEEP
UNKNOWN,2026_03.csv,17,MARKET,1,3513,3513,0,2026-04-05T21:24:00-05:00,2026-04-05T21:24:00-05:00,HIGH,HH,external,ChartPrimeHigh,24318.25,24326.75,24314,24323.25,24326.75,284,12.75,5,3.5,4.25,1,0.725490196078431,24318.25,24326.75,24314,24323.25,284,13.5514461975091,0.940858991296706,0.368964310312434,0.258275017218703,235.3,137.118962948237,1.20696982575436,0.355166046715103,LOW,23981.5,345.25,253,25.4769856270735,BSL,Resolved,3849,3849,CHOCH_UP,UP,14,6.01411825809267,0,1,1,EQH,0.0368964310312434,2843,1,BEARISH_FVG,0,0.424308956859299,2759,1,4,0,BULLISH_OB,6.62290937010818,0.811721482687354,2920,1,1,1,0,2,2,0,25.4769856270735,0,0,SWEEP
UNKNOWN,2026_03.csv,18,MARKET,1,3568,3568,0,2026-04-05T22:19:00-05:00,2026-04-05T22:19:00-05:00,LOW,HL,external,ChartPrimeLow,24192,24195.75,24120.5,24152.5,24120.5,1174,75.25,39.5,3.75,32,-1,0.425249169435216,24192,24195.75,24120.5,24152.5,1174,14.4805562568016,5.19662357339725,2.72779576277995,-2.20985985845464,143.9,105.11798133526,8.15844336344684,9.79946520010344,HIGH,24326.75,206.25,55,14.2432373689459,SSL,Resolved,5588,5590,CHOCH_UP,UP,69,8.61500054194427,0,0,1,EQL,0.535200434469484,356,1,BULLISH_FVG,0,2.39976969004059,197,1,5,0,BEARISH_OB,0.345290602883538,0.638787615334545,336,1,0,1,1,2,3,14.2432373689459,0,0,-0.2,RUN
