duplicate_type,key,count,split,source_file,timestamp,pivot_index,confirmation_index,target,lines
CAUSAL_KEY,2026_03.csv|MARKET|1|14869|14869,2,TRAIN,2026_03.csv,2026-04-16T02:40:00-05:00,14869,14869,SWEEP,67;68
CAUSAL_KEY,2026_06_29.csv|MARKET|1|17112|17112,2,TRAIN,2026_06_29.csv,2026-06-17T09:24:00-05:00,17112,17112,SWEEP,198;199
