split,ghost_timestamp,source_file,target_trace_15,tsne_x,tsne_y,hmm_state,gmm_cluster
TRAIN,2026-04-01T02:01:00-05:00,2026_04.csv,5,-2.54304324650006,-0.211899484835129,QUIET,2
TRAIN,2026-04-01T04:23:00-05:00,2026_04.csv,5,-0.683142777907181,2.47480002986912,ACTIVE,0
TRAIN,2026-04-01T07:44:00-05:00,2026_04.csv,6,0.20677361505435,-1.88780096696959,ACTIVE,3
TRAIN,2026-04-01T08:07:00-05:00,2026_04.csv,8,-0.401433641972645,2.34986263471328,ACTIVE,0
TRAIN,2026-04-01T12:04:00-05:00,2026_04.csv,0,-1.073151681411,-2.87551579079684,QUIET,5
TRAIN,2026-04-01T19:31:00-05:00,2026_04.csv,7,-0.424700979338488,1.67983902208555,ACTIVE,0
TRAIN,2026-04-01T19:59:00-05:00,2026_04.csv,6,0.0131746171890142,-0.894608777715385,ACTIVE,3
TRAIN,2026-04-02T01:14:00-05:00,2026_04.csv,10,-0.801102569358485,3.06629061558205,ACTIVE,0
TRAIN,2026-04-02T02:59:00-05:00,2026_04.csv,7,0.0486365854486421,-2.76618784913539,ACTIVE,3
TRAIN,2026-04-02T07:12:00-05:00,2026_04.csv,9,-0.824450319557671,4.10303007515685,ACTIVE,1
TRAIN,2026-04-02T19:01:00-05:00,2026_04.csv,1,1.80559820023535,-2.48991701644449,QUIET,6
TRAIN,2026-04-02T21:51:00-05:00,2026_04.csv,2,-0.274228404156638,1.28088055076126,ACTIVE,0
TRAIN,2026-04-03T00:46:00-05:00,2026_04.csv,6,0.254079721303209,-1.38022740589885,ACTIVE,3
TRAIN,2026-04-03T06:08:00-05:00,2026_04.csv,9,-0.470808230921811,1.08201993224227,ACTIVE,0
TRAIN,2026-04-03T07:30:00-05:00,2026_04.csv,3,0.918483686282955,-0.0237884460375427,QUIET,3
TRAIN,2026-04-05T17:11:00-05:00,2026_04.csv,6,0.254506504036867,5.14990021619964,ACTIVE,1
TRAIN,2026-04-05T21:24:00-05:00,2026_04.csv,8,0.212381310968356,-3.27854761371577,ACTIVE,3
TRAIN,2026-04-05T22:19:00-05:00,2026_04.csv,0,0.501085607745851,2.35171722631733,ACTIVE,0
TRAIN,2026-04-06T01:50:00-05:00,2026_04.csv,1,0.356662172672262,-1.57346775099214,ACTIVE,3
TRAIN,2026-04-06T02:11:00-05:00,2026_04.csv,3,0.257047234022441,1.2134386149281,ACTIVE,0
TRAIN,2026-04-06T04:05:00-05:00,2026_04.csv,6,-1.29237329446615,-2.58102737607031,QUIET,5
TRAIN,2026-04-06T08:29:00-05:00,2026_04.csv,7,-0.0544527466859368,1.70910884374912,ACTIVE,0
TRAIN,2026-04-06T08:35:00-05:00,2026_04.csv,3,-0.149574582026864,-3.12321599910762,ACTIVE,3
TRAIN,2026-04-06T08:37:00-05:00,2026_04.csv,8,-0.0124734415840397,2.25708278178009,ACTIVE,0
TRAIN,2026-04-06T09:00:00-05:00,2026_04.csv,6,-1.78267471949029,-5.60540503750619,QUIET,5
TRAIN,2026-04-06T12:14:00-05:00,2026_04.csv,9,-0.0895401721426446,3.42232190061622,ACTIVE,0
TRAIN,2026-04-06T17:06:00-05:00,2026_04.csv,6,0.0358198128150682,-2.15526066510134,ACTIVE,3
TRAIN,2026-04-06T21:07:00-05:00,2026_04.csv,2,-0.0854535857780741,4.18872697697036,ACTIVE,1
TRAIN,2026-04-07T04:34:00-05:00,2026_04.csv,9,-0.284576319137038,-3.15341460225809,ACTIVE,3
TRAIN,2026-04-07T07:06:00-05:00,2026_04.csv,0,2.20549518828404,2.24738337724665,QUIET,6
TRAIN,2026-04-07T08:30:00-05:00,2026_04.csv,4,1.66787732927308,-0.574275974248457,QUIET,6
TRAIN,2026-04-07T10:06:00-05:00,2026_04.csv,5,-0.812533065096647,4.78893109332162,ACTIVE,1
TRAIN,2026-04-07T12:36:00-05:00,2026_04.csv,4,0.560659145328035,-3.58289951591553,ACTIVE,3
TRAIN,2026-04-07T13:56:00-05:00,2026_04.csv,5,-0.100429620005329,3.60081334280023,ACTIVE,0
